,trip_id,start_time,stop_time,bike_id,trip_dur,from_station_id,from_station_name,to_station_id,to_station_name,usertype
105,64362045,2019-02-02 20:03:00,2019-02-02 20:09:00,70525,357,1009.0,12th St & Penn Ave,49621.0,14th St & Penn Ave,Subscriber
106,64362090,2019-02-02 20:09:00,2019-02-02 20:18:00,70279,520,1020.0,42nd & Penn Ave.,1019.0,42nd St & Butler St,Subscriber
107,64362221,2019-02-02 20:36:00,2019-02-02 20:52:00,70259,962,4929.0,Ruskin Ave & Bigelow Blvd,1047.0,S 22nd St & E Carson St,Customer
108,64362248,2019-02-02 20:42:00,2019-02-02 20:59:00,70598,1018,1016.0,17th St & Penn Ave,1000.0,Liberty Ave & Stanwix St,Subscriber
110,64362853,2019-02-02 23:12:00,2019-02-02 23:30:00,70541,1043,6666.0,Missing,1021.0,Taylor St & Liberty Ave,Subscriber
111,64363007,2019-02-03 00:20:00,2019-02-03 00:33:00,70085,756,1034.0,Ellsworth Ave & N Neville St,1021.0,Taylor St & Liberty Ave,Subscriber
112,64363196,2019-02-03 01:42:00,2019-02-03 02:04:00,70391,1291,1018.0,Butler St & Stanton Ave,1016.0,17th St & Penn Ave,Subscriber
113,64363242,2019-02-03 02:07:00,2019-02-03 02:11:00,70525,215,49621.0,14th St & Penn Ave,49641.0,11th St & Penn Ave,Subscriber
114,64363258,2019-02-03 02:13:00,2019-02-03 02:34:00,70191,1266,1007.0,Stevenson St & Forbes Ave,1002.0,Third Ave & Wood St,Subscriber
115,64363261,2019-02-03 02:13:00,2019-02-03 02:33:00,70351,1173,1010.0,10th St & Penn Ave (David L. Lawrence Convention Center),1049.0,S 12th St & E Carson St,Subscriber
116,64363278,2019-02-03 02:21:00,2019-02-03 02:54:00,70032,1968,1038.0,Boulevard of the Allies & Parkview Ave,49671.0,9th St & Penn Ave,Customer
117,64363297,2019-02-03 02:27:00,2019-02-03 02:35:00,70185,466,1000.0,Liberty Ave & Stanwix St,1002.0,Third Ave & Wood St,Customer
118,64363301,2019-02-03 02:28:00,2019-02-03 02:34:00,70428,364,1005.0,Forbes Ave & Grant St,1001.0,Forbes Ave & Market Square,Customer
